commit,run_timestamp,build_type,size_mib,source_bytes,stored_bytes,elapsed_seconds,throughput_mib_s,retries,max_in_flight,client_peak_rss_kib,source_sha256,stored_sha256,result
04cf057f72ec1032d8bc3c103a6215c1546cd296,2026-09-02T22:14:44+08:00,Release,256,268435456,268435456,4.42,57.92,0,8,24376,a6d72ac7690f53be6ae46ba88506bd97302a093f7108472bd9efc3cefda06484,a6d72ac7690f53be6ae46ba88506bd97302a093f7108472bd9efc3cefda06484,PASS
04cf057f72ec1032d8bc3c103a6215c1546cd296,2026-09-02T22:14:44+08:00,Release,1024,1073741824,1073741824,19.18,53.39,0,8,25380,49bc20df15e412a64472421e13fe86ff1c5165e18b2afccf160d4dc19fe68a14,49bc20df15e412a64472421e13fe86ff1c5165e18b2afccf160d4dc19fe68a14,PASS
